"","file_identifiers","A.identifier","biosample","batch.extraction","irf.study.id","id.cohort","id.individual","tissue","data.received","dn.rna","date.broad.extract","quant.18s","quant.18s.sd","quant.kulesh","quant.kulesh.sd","rin.e","rna.conc.ng.uL","lib.conc.pmolar","xgen.index","Assigned","Unassigned_Unmapped","Unassigned_Read_Type","Unassigned_Singleton","Unassigned_MappingQuality","Unassigned_Chimera","Unassigned_FragmentLength","Unassigned_Duplicate","Unassigned_MultiMapping","Unassigned_Secondary","Unassigned_NonSplit","Unassigned_NoFeatures","Unassigned_Overlapping_Length","Unassigned_Ambiguity","sub.tissue","SampleType","study.group","challenge.group","animal.number","animal.tatoo","sex","weight","birth.date","viralReadCount","hostReadCount","pc.viral.reads","cohort.uncertain","cohort.numeric","totalReadCount","totalUnassigned","chrY_count","chrX_count","total_count","Xist","sex.1","pc_Y","pc_X","Y_X_ratio","sex_pred","chrY_count.1","chrX_count.1","total_count.1","Xist.1","sex.2","pc_Y.1","pc_X.1","Y_X_ratio.1","sex_pred.1","pred_recorded_sex_mismatch","dpi_time","dpi_time_factor","chrY_count.2","chrX_count.2","chrY_count.3","chrX_count.3","xist_counts","predicted_sex","pred_rec_sex_mismatch","dpi_time_numeric","infected"
"A0001_S121_L002","A0001_S121_L002","A0001","RA1803_Spleen","M","49-E2","D006","RA1803","Spleen",2019-01-10,"RA1803_Spleen_dnRNA","2020-02-07",18900000,7850000,83700,6840,NA,NA,NA,NA,8866580,0,0,0,0,0,0,0,972591,0,0,10836059,0,331311,"","Experimental","6_dpe_scheduled",4,"NHP24","RA1803","F",5.32,"3/4/2012",93139,8773441,0.010504501171816,FALSE,6,8866580,12139961,235,205549,8866580,1033,"F",2.65040184603308e-05,0.0231824446404363,0.00114327970459598,"F",235,205549,8866580,1033,"F",2.65040184603308e-05,0.0231824446404363,0.00114327970459598,"F",FALSE,6,"6",235,205549,235,205549,1033,"F",FALSE,6,"infected"
"A0002_S124_L002","A0002_S124_L002","A0002","RA1803_Kidney","C, ABCDE","49-E2","D006","RA1803","Kidney",2019-01-10,"RA1803_Kidney_dnRNA","2019-03-27, 2020-03-14",1.33e+09,1.24e+08,161,8.54,1.9,40.5,NA,NA,3975403,0,0,0,0,0,0,0,2605606,0,0,2518330,0,359359,"","Experimental","6_dpe_scheduled",4,"NHP24","RA1803","F",5.32,"3/4/2012",4341,3971062,0.00109196476432704,FALSE,6,3975403,5483295,52,45030,3975403,319,"F",1.3080434864088e-05,0.0113271534986516,0.00115478569842327,"F",52,45030,3975403,319,"F",1.3080434864088e-05,0.0113271534986516,0.00115478569842327,"F",FALSE,6,"6",52,45030,52,45030,319,"F",FALSE,6,"infected"
"A0003","A0003","A0003","RA1803_Liver-L","A, ABCDE","49-E2","D006","RA1803","Liver",2019-01-10,"RA1803_Liver-L_dnRNA","2019-01-16, 2020-03-14",2.88e+10,7.95e+09,4740,166,5.1,351,6460,2,5763380,0,0,0,0,0,0,0,1259969,0,0,2705503,0,2541416,"","Experimental","6_dpe_scheduled",4,"NHP24","RA1803","F",5.32,"3/4/2012",19278,5744102,0.00334491218694585,FALSE,6,5763380,6506888,151,56088,5763380,360,"F",2.6199903528832e-05,0.00973178933195451,0.00269219797461133,"F",151,56088,5763380,360,"F",2.6199903528832e-05,0.00973178933195451,0.00269219797461133,"F",FALSE,6,"6",151,56088,151,56088,360,"F",FALSE,6,"infected"
"A0006_S89_L002","A0006_S89_L002","A0006","RA1803_Brain-Gr","C, ABCDE","49-E2","D006","RA1803","Brain",2019-01-10,"RA1803_Brain-Gr_dnRNA","2019-03-27, 2020-03-14",2.63e+09,6.56e+08,46,54.5,5.1,92.1,NA,NA,5957275,0,0,0,0,0,0,0,479534,0,0,10107801,0,193025,"Brain-Gr","Experimental","6_dpe_scheduled",4,"NHP24","RA1803","F",5.32,"3/4/2012",32,5957243,5.37158348405941e-06,FALSE,6,5957275,10780360,149,169296,5957275,1193,"F",2.50114355976516e-05,0.0284183624224163,0.000880115301011247,"F",149,169296,5957275,1193,"F",2.50114355976516e-05,0.0284183624224163,0.000880115301011247,"F",FALSE,6,"6",149,169296,149,169296,1193,"F",FALSE,6,"infected"
"A0008_S140_L002","A0008_S140_L002","A0008","RA1803_LN-AX-R","D, ABCDE","49-E2","D006","RA1803","Lymph node",2019-01-10,"RA1803_LN-AX-R_dnRNA","2019-04-09, 2020-03-14",4e+07,6120000,11000,98.2,NA,NA,358,25,7526762,0,0,0,0,0,0,0,650062,0,0,11779159,0,267258,"","Experimental","6_dpe_scheduled",4,"NHP24","RA1803","F",5.32,"3/4/2012",12850,7513912,0.00170724144060886,FALSE,6,7526762,12696479,256,190130,7526762,1268,"F",3.40119695560986e-05,0.0252605303582072,0.00134644716772734,"F",256,190130,7526762,1268,"F",3.40119695560986e-05,0.0252605303582072,0.00134644716772734,"F",FALSE,6,"6",256,190130,256,190130,1268,"F",FALSE,6,"infected"
"A0009_S139_L002","A0009_S139_L002","A0009","RA1803_LN-ING-L","D, ABCDE","49-E2","D006","RA1803","Lymph node",2019-01-10,"RA1803_LN-ING-L_dnRNA","2019-04-09, 2020-03-14",26700000,251000,18600,857,5.7,88,245,37,8669543,0,0,0,0,0,0,0,682760,0,0,11804024,0,293355,"","Experimental","6_dpe_scheduled",4,"NHP24","RA1803","F",5.32,"3/4/2012",18737,8650806,0.0021612442547433,FALSE,6,8669543,12780139,210,216304,8669543,1301,"F",2.42227300793133e-05,0.0249498733670275,0.000970855832531992,"F",210,216304,8669543,1301,"F",2.42227300793133e-05,0.0249498733670275,0.000970855832531992,"F",FALSE,6,"6",210,216304,210,216304,1301,"F",FALSE,6,"infected"
"A0010_S19_L001","A0010_S19_L001","A0010","RA1082_LN-MES","I/J","49-E2","D006","RA1803","Lymph node",2019-01-10,"RA1803_LN-MES_dnRNA","2019-10-09/2019-10-16",NA,NA,NA,NA,NA,NA,NA,NA,8458863,0,0,0,0,0,0,0,744793,0,0,9871961,0,340920,"","Experimental","6_dpe_scheduled",4,"NHP24","RA1803","F",5.32,"3/4/2012",18649,8440214,0.00220466982382857,FALSE,6,8458863,10957674,190,224551,8458863,993,"F",2.24616476233272e-05,0.0265462391340302,0.000846132949753063,"F",190,224551,8458863,993,"F",2.24616476233272e-05,0.0265462391340302,0.000846132949753063,"F",FALSE,6,"6",190,224551,190,224551,993,"F",FALSE,6,"infected"
"A0011","A0011","A0011","RA1803_LNG-CD-R","J","49-E2","D006","RA1803","Lung",2019-01-10,"RA1803_LNG-CD-R_dnRNA-L","2019-10-16",3.93e+11,5.96e+10,130,3.98,6.2,182,1490,2,25928,0,0,0,0,0,0,0,37012,0,0,71522,0,6631,"","Experimental","6_dpe_scheduled",4,"NHP24","RA1803","F",5.32,"3/4/2012",54,25874,0.00208269052761493,FALSE,6,25928,115165,2,229,25928,0,"F",7.71366862079605e-05,0.00883215057081148,0.00873362445414847,"F",2,229,25928,0,"F",7.71366862079605e-05,0.00883215057081148,0.00873362445414847,"F",FALSE,6,"6",2,229,2,229,0,"F",FALSE,6,"infected"
"A0013_S47_L001","A0013_S47_L001","A0013","RA1803_Skin-Rash","E, ABCDE","49-E2","D006","RA1803","Skin",2019-01-10,"RA1803_Skin-Rash_dnRNA","2019-05-08, 2020-03-14",9.26e+09,8.76e+08,23.3,4.69,NA,NA,1980,23,671178,0,0,0,0,0,0,0,66740,0,0,446422,0,26922,"Rash","Experimental","6_dpe_scheduled",4,"NHP24","RA1803","F",5.32,"3/4/2012",31,671147,4.6187449529037e-05,FALSE,6,671178,540084,35,11729,671178,52,"F",5.21471204360095e-05,0.0174752450169702,0.00298405661181686,"F",35,11729,671178,52,"F",5.21471204360095e-05,0.0174752450169702,0.00298405661181686,"F",FALSE,6,"6",35,11729,35,11729,52,"F",FALSE,6,"infected"
"A0015_S120_L002","A0015_S120_L002","A0015","RA0850_Spleen","M","49-E2","D004","RA0850","Spleen",2019-01-10,"RA0850_Spleen_dnRNA","2020-02-07",8.2e+07,8970000,3250,215,NA,NA,NA,NA,7078234,0,0,0,0,0,0,0,686916,0,0,10274606,0,246075,"","Experimental","4_dpe_scheduled",4,"NHP20","RA0850","M",9.46,"11/21/2011",1463,7076771,0.000206689973798549,FALSE,4,7078234,11207597,6867,180013,7078234,0,"M",0.000970157245437209,0.0254319085805866,0.0381472449212001,"M",6867,180013,7078234,0,"M",0.000970157245437209,0.0254319085805866,0.0381472449212001,"M",FALSE,4,"4",6867,180013,6867,180013,0,"M",FALSE,4,"infected"
